fpr_mean,tpr_mean,auc_mean,auc_sd
0.0,0.0,0.9384013812194352,0.02533958072485727
0.001001001001001001,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.002002002002002002,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.003003003003003003,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.004004004004004004,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.005005005005005005,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.006006006006006006,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.007007007007007007,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.008008008008008008,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.009009009009009009,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.01001001001001001,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.011011011011011011,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.012012012012012012,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.013013013013013013,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.014014014014014014,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.015015015015015015,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.016016016016016016,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.017017017017017015,0.6439703613611638,0.9384013812194352,0.02533958072485727
0.018018018018018018,0.6440158159066184,0.9384013812194352,0.02533958072485727
0.01901901901901902,0.6441639640547666,0.9384013812194352,0.02533958072485727
0.02002002002002002,0.644554440245243,0.9384013812194352,0.02533958072485727
0.02102102102102102,0.6464868999226624,0.9384013812194352,0.02533958072485727
0.022022022022022022,0.6494904649850511,0.9384013812194352,0.02533958072485727
0.023023023023023025,0.6550737983183847,0.9384013812194352,0.02533958072485727
0.024024024024024024,0.6652537414193805,0.9384013812194352,0.02533958072485727
0.025025025025025023,0.678221049111688,0.9384013812194352,0.02533958072485727
0.026026026026026026,0.6816844637458342,0.9384013812194352,0.02533958072485727
0.02702702702702703,0.6932597682862561,0.9384013812194352,0.02533958072485727
0.028028028028028028,0.6968734046498927,0.9384013812194352,0.02533958072485727
0.029029029029029027,0.7021400713165594,0.9384013812194352,0.02533958072485727
0.03003003003003003,0.7052487669687332,0.9384013812194352,0.02533958072485727
0.031031031031031032,0.7076317456921374,0.9384013812194352,0.02533958072485727
0.03203203203203203,0.7082984123588042,0.9384013812194352,0.02533958072485727
0.03303303303303303,0.7102371878690084,0.9384013812194352,0.02533958072485727
0.03403403403403403,0.7119371878690084,0.9384013812194352,0.02533958072485727
0.035035035035035036,0.712133266300381,0.9384013812194352,0.02533958072485727
0.036036036036036036,0.712133266300381,0.9384013812194352,0.02533958072485727
0.037037037037037035,0.7122842096966074,0.9384013812194352,0.02533958072485727
0.03803803803803804,0.7123582837706816,0.9384013812194352,0.02533958072485727
0.03903903903903904,0.7123582837706816,0.9384013812194352,0.02533958072485727
0.04004004004004004,0.7129582837706815,0.9384013812194352,0.02533958072485727
0.04104104104104104,0.7139905418351976,0.9384013812194352,0.02533958072485727
0.04204204204204204,0.7151155418351977,0.9384013812194352,0.02533958072485727
0.043043043043043044,0.7169337236533795,0.9384013812194352,0.02533958072485727
0.044044044044044044,0.719080782476909,0.9384013812194352,0.02533958072485727
0.04504504504504504,0.7217950681911945,0.9384013812194352,0.02533958072485727
0.04604604604604605,0.7252672904134168,0.9384013812194352,0.02533958072485727
0.04704704704704705,0.7303753985215249,0.9384013812194352,0.02533958072485727
0.04804804804804805,0.7355332932583669,0.9384013812194352,0.02533958072485727
0.04904904904904905,0.7399179086429826,0.9384013812194352,0.02533958072485727
0.050050050050050046,0.7449429086429827,0.9384013812194352,0.02533958072485727
0.05105105105105105,0.7449429086429827,0.9384013812194352,0.02533958072485727
0.05205205205205205,0.7507477866917627,0.9384013812194352,0.02533958072485727
0.05305305305305305,0.7554858819298583,0.9384013812194352,0.02533958072485727
0.05405405405405406,0.7606021609996264,0.9384013812194352,0.02533958072485727
0.055055055055055056,0.7606021609996264,0.9384013812194352,0.02533958072485727
0.056056056056056056,0.7640567064541717,0.9384013812194352,0.02533958072485727
0.057057057057057055,0.7640567064541717,0.9384013812194352,0.02533958072485727
0.058058058058058054,0.7661154366129017,0.9384013812194352,0.02533958072485727
0.05905905905905906,0.767985001830293,0.9384013812194352,0.02533958072485727
0.06006006006006006,0.7680516684969597,0.9384013812194352,0.02533958072485727
0.06106106106106106,0.7704984770075979,0.9384013812194352,0.02533958072485727
0.062062062062062065,0.7708855737817915,0.9384013812194352,0.02533958072485727
0.06306306306306306,0.7732709904484582,0.9384013812194352,0.02533958072485727
0.06406406406406406,0.775301293478761,0.9384013812194352,0.02533958072485727
0.06506506506506507,0.7760768036828427,0.9384013812194352,0.02533958072485727
0.06606606606606606,0.7786650389769603,0.9384013812194352,0.02533958072485727
0.06706706706706707,0.7800678961198175,0.9384013812194352,0.02533958072485727
0.06806806806806806,0.7800678961198175,0.9384013812194352,0.02533958072485727
0.06906906906906907,0.7836806412178569,0.9384013812194352,0.02533958072485727
0.07007007007007007,0.7854373979746135,0.9384013812194352,0.02533958072485727
0.07107107107107107,0.7854373979746135,0.9384013812194352,0.02533958072485727
0.07207207207207207,0.7885163453430348,0.9384013812194352,0.02533958072485727
0.07307307307307308,0.7885163453430348,0.9384013812194352,0.02533958072485727
0.07407407407407407,0.7940223927547428,0.9384013812194352,0.02533958072485727
0.07507507507507508,0.7988973927547428,0.9384013812194352,0.02533958072485727
0.07607607607607608,0.7990455409028909,0.9384013812194352,0.02533958072485727
0.07707707707707707,0.8025577360248423,0.9384013812194352,0.02533958072485727
0.07807807807807808,0.8025577360248423,0.9384013812194352,0.02533958072485727
0.07907907907907907,0.8057958312629377,0.9384013812194352,0.02533958072485727
0.08008008008008008,0.8060958312629378,0.9384013812194352,0.02533958072485727
0.08108108108108109,0.8097702498675892,0.9384013812194352,0.02533958072485727
0.08208208208208208,0.8109637982546859,0.9384013812194352,0.02533958072485727
0.08308308308308308,0.8109637982546859,0.9384013812194352,0.02533958072485727
0.08408408408408408,0.8135092528001405,0.9384013812194352,0.02533958072485727
0.08508508508508508,0.8135092528001405,0.9384013812194352,0.02533958072485727
0.08608608608608609,0.8153961214870091,0.9384013812194352,0.02533958072485727
0.08708708708708708,0.8161608273693621,0.9384013812194352,0.02533958072485727
0.08808808808808809,0.8161608273693621,0.9384013812194352,0.02533958072485727
0.0890890890890891,0.818421075816567,0.9384013812194352,0.02533958072485727
0.09009009009009009,0.818421075816567,0.9384013812194352,0.02533958072485727
0.09109109109109109,0.8222023996936352,0.9384013812194352,0.02533958072485727
0.0920920920920921,0.8222023996936352,0.9384013812194352,0.02533958072485727
0.09309309309309309,0.8242023996936353,0.9384013812194352,0.02533958072485727
0.0940940940940941,0.8252440663603018,0.9384013812194352,0.02533958072485727
0.09509509509509509,0.8254292515454869,0.9384013812194352,0.02533958072485727
0.0960960960960961,0.8276924094402242,0.9384013812194352,0.02533958072485727
0.0970970970970971,0.8287689400524689,0.9384013812194352,0.02533958072485727
0.0980980980980981,0.8316150938986226,0.9384013812194352,0.02533958072485727
0.0990990990990991,0.8316150938986226,0.9384013812194352,0.02533958072485727
0.10010010010010009,0.8347267605652894,0.9384013812194352,0.02533958072485727
0.1011011011011011,0.8347267605652894,0.9384013812194352,0.02533958072485727
0.1021021021021021,0.8353074057265797,0.9384013812194352,0.02533958072485727
0.1031031031031031,0.8372098447509699,0.9384013812194352,0.02533958072485727
0.1041041041041041,0.8372098447509699,0.9384013812194352,0.02533958072485727
