,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66
R33P01_01_N003_IBD-Chile_A_T_C2,-1.2805051154676166,-1.4077419251824848,-0.15000531034270356,-0.6801477655974666,-1.241702269258776,-2.5259059783771245,-0.30407782715488607,0.07936638032203802,0.964879706662374,0.19067448119236619,-0.09357031656888537,1.9432239352284908,-0.32784357795171465,0.6534954842884065,3.882437952283905,-2.118175902403413,-4.278023125853242,-0.051134810170407635,3.130431823709604,2.5222348295717234,1.1244355155867014,-4.272325058520464,-0.23760207712779913,3.308730598312953,0.5945453014206021,-2.6836242801723684,-1.832884106921351,-1.029219470739511,1.2060003619082735,-6.453599518871417,0.909002491647807,-3.795491121948165,-3.797654055088851,-4.100802408086199,1.6258697520769314,-0.8817452004773051,-10.652678678569938,-3.498175447774859,-0.9780432570134309,6.258238693376336,0.7319431835333956,11.024651492083905,4.714406910378469,0.07027133632725154,7.041327140089245,6.9170241305949425,-0.5873011134898286,1.2534860955804112,1.0123085274636217,12.421758047225227,-2.3217559083645916,51.45205888979863,48.53166979684123,-40.5773663236152,-5.515095390603821,8.11108421665285,-9.406440346289203,4.4985216468525575,1.0309342100497991,-2.6698416489743657,0.493569926784134,1.29506518845994,1.0565296771918116,-2.3731286784161356,1.524403881921503,0.7239121223918724
R33P01_02_N006_IBD-Chile_A_T_C2,-3.337614903206796,-3.3950716534684484,-0.6503248691247556,-2.190311168475301,1.2216060533519637,-1.727275120888994,-0.14276638190659197,-1.1831839151144816,0.5911335867948382,-1.6498562769206377,-0.0072301835816346695,0.3515110729535165,0.42664143106155566,-0.07025018896112314,5.20172616305974,-0.30181306841018307,-4.1483807220016065,1.2575683481537119,-1.9098607330873818,2.4228485070030286,-0.6008077767824094,-2.6260489640966327,-2.9892744557448117,-1.713032116462619,-0.42096854667748745,0.020871911911666076,-2.192555027118415,2.274308468814711,-1.0215728132865434,-0.7608597191613347,0.45872523629020384,-4.985414688946041,-2.5841301222315316,-4.719106205004098,-1.7314921373823173,1.7825953928699685,-3.3104016871221837,-2.101003238953621,0.9263867438299687,-3.4869761687883334,-1.1306220674971192,5.422314866572576,-4.6645382282078875,-1.7592203731984482,-4.091795163523633,-1.275476593208893,0.7176221904685122,-4.458512725799736,-5.101833329597654,1.7536502806306855,-3.5930872766185757,4.984209245836962,4.977269765939343,10.551656976018917,4.480947663842806,-0.7187749298617007,48.531729214682,31.521363239281225,-35.10577695830254,-22.94239122234074,5.133780646650267,5.878281939680231,20.246239986595867,-7.48146828781536,-9.285395408786423,0.3540918697489323
R33P01_03_N008_IBD-Chile_A_T_C2,-4.225733404363383,-5.302978889176792,-1.6938454775441258,-6.0289083732127455,-2.660425540888606,-4.577668440489104,-3.0722826511579147,-2.4074527974036246,-4.485715255910929,-3.6008693315658777,-2.0964581369466964,-3.7088322686991355,-1.1220779232246858,-1.1046075546036622,-0.10052160303515352,-0.3642068786197409,0.13962612752841433,2.642538119705032,1.783677774826333,2.541666788204519,-1.810234793325862,-2.968468306778374,-4.393352761868384,-2.263451160465663,0.044427631308075206,-2.6218328938248567,-2.032642541561562,-4.211612074180337,-2.7835256621793,-1.877792234937875,-0.09847196152722033,-3.665906292252651,1.0294142622419977,-6.6740583087408,2.529476901238129,-0.4623936440054318,-0.21788031925855728,-0.6350396159728094,-2.161198244585992,-1.4032792893067176,5.005692764419593,-3.4222500052468536,-12.472801632932562,-8.391235870538516,-0.508367010907849,-0.350842480186034,-5.754071257343388,0.5277778869067409,1.5798783368008895,0.5671171799251661,7.172812122205378,8.499996369251807,-16.810641526983748,2.9554776052667027,20.42525648551714,-23.368228222516255,-42.90552043503307,47.419535744146515,0.9104669686549199,-12.840846066081564,-15.835570784250967,-2.894466518152312,4.3955253969917205,5.529956711242975,-6.370651334621814,3.4545946241876258
R33P01_04_N011_IBD-Chile_A_T_C2,-1.2818858821928079,1.9256125674838211,-1.8195198777458534,3.744014281306312,-0.4071204962661515,-4.2262345715189635,-0.025254120440961772,-3.817800978316845,9.469460246735204,-0.32985299857228934,-2.9726394534404856,11.92066069891251,-3.8137850903369546,9.22756409352364,19.63237728689439,-4.575270178114053,4.108974453102415,-11.485675509446406,5.843315251991996,0.9132307222682682,-5.696585356669052,-26.185689111718485,-5.402377869226619,108.78428990837287,-0.8650091174864546,24.854749570150574,15.708612825252523,-3.7886719497131964,-10.52496488823882,8.386355615170112,4.033782451520736,3.4299480325897576,2.860184134016369,6.838935093140423,-0.3104141376220589,0.7368674329456758,5.485973311301749,1.2724653413315423,0.7857857271513701,-2.2962311825402595,3.244813547341337,-3.918444120522839,0.5774224895945549,1.1555994928235105,-4.8143205487024225,1.6713436248792923,0.7636886488958486,2.6562316628512117,2.2433957115255,-1.1392305529845648,-0.4539248464681366,-0.451270191493961,-1.549998417735139,1.5945906435084984,0.03803955755228089,-0.7966856697760705,0.5307382606560871,0.8320928486876646,0.9738802911574223,0.9124168227767773,-0.18767718734801336,-0.8865449679615369,1.0434880949867436,0.2089388436419092,0.1593439965687674,0.4938694267154005
R33P01_05_N013_IBD-Chile_A_T_C2,-3.982079198152853,-2.354445486270772,-2.0229099335039518,-4.198030335475843,-0.6382898347113707,-3.9564632715033095,-1.8234917816745873,-1.260925644488503,-0.52159931712272,-3.5383131788216318,-2.709159634740595,1.0291281072499365,-0.5701822683456268,-2.6822829483236914,2.263593031322432,-2.4900832344083,-0.544361078898657,1.9309364152197366,1.468867758182494,0.5568522366381811,-0.5688687745126746,-3.2263731786240153,-3.7527193626623605,-1.0342102478482804,2.8739712653364586,-1.1269049425910336,-3.4191257523056335,-3.3827231824418154,-3.395549174661967,0.0921180242291604,-3.1440321674745366,-1.1174967173651937,1.145389173865416,-6.780894221564061,2.195026021521995,-0.389281736290416,1.4060256531303552,4.054667342360308,0.9914650136870171,-0.8384655213570351,2.971670463841861,0.4145290867283705,-12.61059531472222,-5.54575771645074,2.9112246137828253,-6.907173259638251,4.714918902358677,6.3743062546379345,-3.5198912701574097,0.8507265395598332,0.932114985140302,4.090039609491605,-11.059748027828743,-3.114910752548355,52.54617021408922,54.75638598761094,2.541159281788209,-10.033674638921257,3.893827826351381,-10.418671757259323,-7.656450879459633,-6.859057661400905,-3.1648931358500123,4.5536938965122875,-0.3987232783788435,3.9940007088190144
R33P01_06_N014_IBD-Chile_A_T_C2,-3.357745656411663,-2.969558370025946,-1.1305264776799409,-0.573248428838779,0.3659148388586132,0.035650731762099694,-1.866577787834862,-1.4326261763931998,-0.9421824755186834,-0.19208566638702185,0.17375442490935047,-0.035403329373083554,-0.5485217486339995,0.46515990006207597,4.659874841283047,2.019019028480879,-7.54908097035225,2.111482184566703,1.7540401131800931,4.004216750314408,0.40323846165066474,-8.970057181686713,-8.177737622849277,-8.72006802717341,-1.7750919639337748,2.3521794312031576,-2.0122177591492365,-10.242815851093031,-3.3597385428469484,-12.718432444011405,12.196400453109597,0.09991902710722161,-36.92029460572566,17.620575417442097,-20.231586358612446,62.726886682176776,58.068156442589114,7.324673457783732,-2.491799811142357,-5.4820656899253635,-13.739627475352203,-4.624468784706114,0.377670914769463,8.728633762874454,11.500121726168555,2.7712984162155627,-0.35983130649697964,-2.552200802985726,-6.286941886935519,-3.839563790816912,-0.3390899735653533,2.735001288728441,2.815557022285348,-0.4992612376240815,-1.2945555320858622,1.107034283039254,-2.4957271321927355,-0.2064804732638661,-0.7570527642435552,0.6893340541345712,-1.3461797507955195,-1.9763727261451804,1.5688048550286025,0.9368301222929115,-0.4667949632904071,-0.6277111374589509
R33P01_07_N015_IBD-Chile_A_T_C2,-2.5698047886525783,-2.943191956758195,-1.4824671692497828,-0.9017483129687528,-0.10064885788768134,0.3628395298669752,-0.9696307640952289,0.8965861039263281,-0.8288790434960247,-1.5739741755543726,2.878073106753049,-0.8853355614334866,0.5266908530354963,0.10063812508568275,3.500698464264181,-0.619027155893239,-3.6496522100971696,0.34096003214114473,0.7884163430374125,0.93859797520559,-0.7066460688621128,-4.47513398169779,-3.29487458987094,-0.864653100925247,0.23765162046562918,-1.546260783069592,-2.421630269285777,2.242741137376637,-0.62745387510932,-3.9258939001280213,0.7958143359078025,-2.5339830581399085,0.3002959739461409,-5.2694382512575455,-4.138486320379261,-2.3438636370833676,-3.0299980838387475,-1.2407296480829386,2.3498184857259847,-5.9771122174071705,5.541083738556185,5.322409908120506,-9.267061505705762,-10.666484006766698,3.7847875126179473,-3.6918313997217878,9.659467834247119,-12.036025630818276,-6.3054334195046895,15.019391056268613,1.107136625466044,36.1474402750957,4.61533746611628,66.15541464527317,-19.93953774367081,13.671420900178784,-12.691359857856392,-8.119356343596632,0.8136844022992731,3.6176272938603318,2.8842132125059043,-3.3717818958064116,-0.818582261517525,-0.9436071606439141,-1.874847335874669,-1.5809646828203214
R33P01_08_N018_IBD-Chile_A_T_C2,-6.609636525993368,-15.031041668885624,-7.419457084374897,-14.518122889692863,-9.611082496749276,-13.578032233054028,-9.739914837057361,-5.234377090512264,-20.03444857080231,-19.610842144424776,-4.308136732841115,-16.52612830693569,-4.617269788428019,-10.84949988665986,-44.980530533513864,2.103666745659398,36.38095869227746,-13.265864365634782,-13.926211634268164,-29.53926146217134,6.479817722899316,39.96353751332004,18.238909943922614,14.683174701724,0.4691438411844546,-2.0130052192840004,12.245728574642404,20.187572944924586,12.368371330603736,26.33245245255242,1.9658994550201179,-3.6164040176812127,0.2885048689307531,21.793410523934217,-32.10961215203139,32.65409938537623,-26.459967508369147,6.972924442405285,4.3754957583249805,2.8331002331588038,1.0696947720049845,9.491456866547715,6.5994513616095505,-26.28060881346882,3.345313952840801,-3.0473704140321685,0.48751994351194045,1.5085272002423828,0.5625611959507778,-0.5963558768885037,0.07865305506707973,-0.21643873807371572,2.3632121998296927,0.7338631989878458,2.395281037839247,-0.22760069905430932,1.6152017971807011,2.727185865382321,3.853299973637877,-4.083657329299738,0.41116862629372886,-1.3741121657486097,-5.564930699895903,-3.4530402140319016,-0.6833696018092916,0.8425922433715038
R33P01_09_N020_IBD-Chile_A_T_C2,-2.9786933893630643,-0.8858943923717706,-1.8161103675651709,-2.2896654178706446,-2.1274906195404317,-2.59034108368853,0.1815716190146163,-1.7416411319173737,1.0909076743109183,-0.5341966176272698,-0.5028885818798339,1.9209956778479886,-1.2170914013929188,1.8570256896416684,3.777028930283475,-2.7096264499610596,-1.7331394783501628,-1.561749943385183,1.2434900468499268,1.7857173597189073,-1.4476919738862941,-5.211250873287631,-2.97873675288356,5.415948724347224,-0.9954972687120677,-0.09642698413251118,-0.569780206824315,-1.7604356242518198,-0.24509066999386747,-0.6987877171076256,0.9340628008372667,-3.124388536145921,-2.2373262383866823,-2.2591048651661882,-1.0207281134927075,-1.43197689176776,-2.556935585742921,-1.3788048931191152,-0.7890224986408877,4.7784271750313465,-1.1800700777453847,0.3824991024086376,-1.2220690169583521,-2.136520858843178,0.9584081002877911,1.7846348084058232,-3.5735521227187483,0.008406048499962978,-1.249801137847796,-0.8869582188910047,0.6035112116332004,2.353766632256997,0.38369231521553,-2.9720535758580198,1.31967532319732,-4.368227019949963,0.999972029448365,-4.0669785549081805,-2.8523326077683757,-2.934925171494711,4.325797637925094,3.802025375851541,-8.82220193233613,-2.5656307450816978,1.1302515070093073,0.281518567044587
R33P01_10_N021_IBD-Chile_A_T_C2,-3.7040347965824165,-5.72374574810812,-1.4897895193297233,-3.263140127153601,-0.7750596509266957,-3.1389556062602377,-0.767615559521624,-0.7265722888039495,-0.0029636346680585925,-2.2260375420375684,-1.120068954571255,-1.6048865529772662,-0.6892923173753658,-1.0977782955020399,2.5694963343632296,-0.20926902550600382,-5.544290536997662,0.6147408919913155,2.1974764068088892,4.0747418513418205,1.0640573076733402,-10.565820879018354,-9.288950056096581,-5.396986588705502,3.737474759075237,-5.769526318445133,-8.640191875641879,-4.890492931049819,2.7519507312471103,-22.62090903162274,13.023147348796273,-47.12647619602394,63.93051604699606,56.86182790164915,-15.819912253334712,-10.724915480413078,13.240724318393081,-5.019415460687285,-2.317568514693073,7.486092436129181,-7.2382628953337065,4.549160832261813,7.290465009410567,2.992990145405264,1.6244468355276114,1.5539668546174912,0.03354583662315118,-0.2591468414973261,-0.8283506698406444,0.11767882698072306,-0.12470228050084581,-3.2158764215658637,0.41317430818881057,0.26408551048823814,-0.15461938997523264,2.7478452305368277,-1.2195574400490843,0.9191476930634357,0.5143084661211255,-0.5535796967652468,-0.5285154643618575,-0.20104935512702946,1.4249009846459428,-0.5241434254623731,-0.0505656075598307,-0.0518867141880005
